MaCauHinh;GiaTri;MoTa;UpdateDate;MaGiaoXuRieng;DeleteSV;
CURRENT_DB_VERSION;2.1.3.0.1.2;Phiên bản hiện tại;2018-10-31 22:48:39;1221;0;
AUTO_UPDATE;1;Cho phép tự động cập nhật Hello world;2018-10-31 22:48:39;1221;0;
TEMPLATE_FOLDER;Chung;Thư mục chứa các mẫu báo cáo;2018-10-31 22:48:39;1221;0;
SOGIADINH_IN_GACHNGANG;1;In gạch ngang trong sổ gia đình với những người thuộc hồ sơ lưu trữ;2018-10-31 22:48:39;1221;0;
SOGIADINH_IN_LAPGD;1;In cả những người đã lập gia đình trong sổ gia đình;2018-10-31 22:48:39;1221;0;
SOGIADINH_IN_LUUTRU;1;In cả những người thuộc hồ sơ lưu trữ trong sổ gia đình;2018-10-31 22:48:39;1221;0;
US_FORMAT_NAME;1;In họ tên theo định dạng kiểu Mỹ (tên trước họ sau);2018-10-31 22:48:39;1221;0;
SOGIADINH_INNOISINH;1;In nơi sinh và nơi rửa tội;2018-10-31 22:48:39;1221;0;
CURRENT_GIAOHO;1;;2018-10-31 22:48:39;1221;0;
TUNHAP_MAGIADINH;0;Cho phép tự nhập mã gia đình;2018-10-31 22:48:39;1221;0;
CHUANHOA_TUCHUANHOA;1;Cho phép chuẩn hóa dữ liệu nhập một cách tự động;2018-10-31 22:48:39;1221;0;
CHUANHOA_TUDOIDAU;1;Cho phép tự đổi cách bỏ dấu sang kiểu cũ khi chuẩn hóa dữ liệu nhập một cách tự động;2018-10-31 22:48:39;1221;0;
SOBITICH_HIENTATCAGIAODAN;0;Cho phép hiện tất cả giáo dân tìm được khi chọn vào sổ bí tích;2018-10-31 22:48:39;1221;0;
CHUANHOA_TUCHUYENMA;1;Cho phép tự chuyển sang mã unicode dựng sẵn khi chuẩn hóa dữ liệu nhập một cách tự động;2018-10-31 22:48:39;1221;0;
CHUANHOA_TRONGNGOAC;3;Cách để từ trong ngoại khi chuẩn hóa dữ liệu nhập một cách tự động;2018-10-31 22:48:39;1221;0;
REPORT_LANGUAGE;vi-vn;;2018-10-31 22:48:39;1221;0;
SOGIADINH_THAYSTT_MAGIAODAN;0;;2018-10-31 14:43:00;1221;0;
MAX_BACKUP;40;;2018-10-31 14:43:00;1221;0;
FONT_NAME;MS Sans Serif;;2018-10-31 14:43:00;1221;0;
FONT_SIZE;8.25;;2018-10-31 14:43:00;1221;0;
1;0;;2018-10-31 22:48:39;1221;0;
